model,dataset,relative_path,video_sha256,theta,k,sequence_scores,detected,alert_score_index_zero_based,alert_frame_one_based,delay_seconds_at_25fps,alert_rolling_score
lstm_original_grouped,RLVS,Violence/V_965.mp4,627053f489a7425c1a11665cb42f184a0356bed2491bf7077fa31b5ddc0e622e,0.7,5,27,1,4,40,1.600000,0.916593707
lstm_augmented_grouped,RLVS,Violence/V_965.mp4,627053f489a7425c1a11665cb42f184a0356bed2491bf7077fa31b5ddc0e622e,0.7,7,27,1,6,50,2.000000,0.925718444
gru_original_grouped,RLVS,Violence/V_965.mp4,627053f489a7425c1a11665cb42f184a0356bed2491bf7077fa31b5ddc0e622e,0.65,5,27,1,4,40,1.600000,0.959787416
gru_augmented_grouped,RLVS,Violence/V_965.mp4,627053f489a7425c1a11665cb42f184a0356bed2491bf7077fa31b5ddc0e622e,0.65,10,27,1,9,65,2.600000,0.657897340
lstm_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0448.avi,e6dde7a5cec1d1ac6a3a4d4a38413abc70d0983c4afa49d30f439b941daf56e7,0.7,5,27,0,,,,
lstm_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0448.avi,e6dde7a5cec1d1ac6a3a4d4a38413abc70d0983c4afa49d30f439b941daf56e7,0.7,7,27,0,,,,
gru_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0448.avi,e6dde7a5cec1d1ac6a3a4d4a38413abc70d0983c4afa49d30f439b941daf56e7,0.65,5,27,0,,,,
gru_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0448.avi,e6dde7a5cec1d1ac6a3a4d4a38413abc70d0983c4afa49d30f439b941daf56e7,0.65,10,27,0,,,,
lstm_original_grouped,RLVS,Violence/V_973.mp4,5b431fa0ede8a793f8564cc663cf9d9014cd69415ed0b3285b8380ab581471d0,0.7,5,27,1,6,50,2.000000,0.743734980
lstm_augmented_grouped,RLVS,Violence/V_973.mp4,5b431fa0ede8a793f8564cc663cf9d9014cd69415ed0b3285b8380ab581471d0,0.7,7,27,1,8,60,2.400000,0.710392824
gru_original_grouped,RLVS,Violence/V_973.mp4,5b431fa0ede8a793f8564cc663cf9d9014cd69415ed0b3285b8380ab581471d0,0.65,5,27,1,5,45,1.800000,0.753651142
gru_augmented_grouped,RLVS,Violence/V_973.mp4,5b431fa0ede8a793f8564cc663cf9d9014cd69415ed0b3285b8380ab581471d0,0.65,10,27,1,9,65,2.600000,0.684264574
lstm_original_grouped,RLVS,Violence/V_671.mp4,e3db54abdbf3fa357246df6378ad4c90cfc624f8c2314cf0d15476e1e829d7c8,0.7,5,22,1,16,100,4.000000,0.785125613
lstm_augmented_grouped,RLVS,Violence/V_671.mp4,e3db54abdbf3fa357246df6378ad4c90cfc624f8c2314cf0d15476e1e829d7c8,0.7,7,22,0,,,,
gru_original_grouped,RLVS,Violence/V_671.mp4,e3db54abdbf3fa357246df6378ad4c90cfc624f8c2314cf0d15476e1e829d7c8,0.65,5,22,1,13,85,3.400000,0.682085049
gru_augmented_grouped,RLVS,Violence/V_671.mp4,e3db54abdbf3fa357246df6378ad4c90cfc624f8c2314cf0d15476e1e829d7c8,0.65,10,22,1,16,100,4.000000,0.733167061
lstm_original_grouped,RLVS,Violence/V_483.mp4,9c2f3575619beeddd363ac74228acb9d4a7f02b29bbe33508fad2e6417ab6f7f,0.7,5,25,1,4,40,1.600000,0.981924522
lstm_augmented_grouped,RLVS,Violence/V_483.mp4,9c2f3575619beeddd363ac74228acb9d4a7f02b29bbe33508fad2e6417ab6f7f,0.7,7,25,1,6,50,2.000000,0.967534210
gru_original_grouped,RLVS,Violence/V_483.mp4,9c2f3575619beeddd363ac74228acb9d4a7f02b29bbe33508fad2e6417ab6f7f,0.65,5,25,1,4,40,1.600000,0.719001752
gru_augmented_grouped,RLVS,Violence/V_483.mp4,9c2f3575619beeddd363ac74228acb9d4a7f02b29bbe33508fad2e6417ab6f7f,0.65,10,25,1,9,65,2.600000,0.946774507
lstm_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0396.avi,f56a120be29209bf87346e16bd04b3d4909d007d138708a51b06d7c782ddfbd8,0.7,5,27,1,4,40,1.600000,0.868928504
lstm_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0396.avi,f56a120be29209bf87346e16bd04b3d4909d007d138708a51b06d7c782ddfbd8,0.7,7,27,1,6,50,2.000000,0.860505819
gru_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0396.avi,f56a120be29209bf87346e16bd04b3d4909d007d138708a51b06d7c782ddfbd8,0.65,5,27,1,4,40,1.600000,0.878441644
gru_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0396.avi,f56a120be29209bf87346e16bd04b3d4909d007d138708a51b06d7c782ddfbd8,0.65,10,27,1,9,65,2.600000,0.835899180
lstm_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0705.avi,de5b85949b21330a641a56da8e2f50dc99e7e5c3265914a5e1207763495f1234,0.7,5,27,1,4,40,1.600000,0.983354187
lstm_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0705.avi,de5b85949b21330a641a56da8e2f50dc99e7e5c3265914a5e1207763495f1234,0.7,7,27,1,6,50,2.000000,0.961670067
gru_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0705.avi,de5b85949b21330a641a56da8e2f50dc99e7e5c3265914a5e1207763495f1234,0.65,5,27,1,4,40,1.600000,0.908641160
gru_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0705.avi,de5b85949b21330a641a56da8e2f50dc99e7e5c3265914a5e1207763495f1234,0.65,10,27,1,9,65,2.600000,0.890118730
lstm_original_grouped,RLVS,Violence/V_657.mp4,eb970426f887d3305bf6c871846f67bcbea6570657e382e5e3eac0b1a5ce6adf,0.7,5,22,1,4,40,1.600000,0.981942785
lstm_augmented_grouped,RLVS,Violence/V_657.mp4,eb970426f887d3305bf6c871846f67bcbea6570657e382e5e3eac0b1a5ce6adf,0.7,7,22,1,6,50,2.000000,0.969567350
gru_original_grouped,RLVS,Violence/V_657.mp4,eb970426f887d3305bf6c871846f67bcbea6570657e382e5e3eac0b1a5ce6adf,0.65,5,22,1,4,40,1.600000,0.997353554
gru_augmented_grouped,RLVS,Violence/V_657.mp4,eb970426f887d3305bf6c871846f67bcbea6570657e382e5e3eac0b1a5ce6adf,0.65,10,22,1,9,65,2.600000,0.996622074
lstm_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0368.avi,58c7ce07ba88c7d1cbae970d16e270f5ad76293d52e933d25a90eb2e56fdfe5c,0.7,5,27,1,4,40,1.600000,0.754194868
lstm_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0368.avi,58c7ce07ba88c7d1cbae970d16e270f5ad76293d52e933d25a90eb2e56fdfe5c,0.7,7,27,1,6,50,2.000000,0.793191092
gru_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0368.avi,58c7ce07ba88c7d1cbae970d16e270f5ad76293d52e933d25a90eb2e56fdfe5c,0.65,5,27,1,4,40,1.600000,0.888744307
gru_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0368.avi,58c7ce07ba88c7d1cbae970d16e270f5ad76293d52e933d25a90eb2e56fdfe5c,0.65,10,27,1,9,65,2.600000,0.958723032
lstm_original_grouped,RLVS,Violence/V_612.mp4,91bfa0e3320b9810b3d423721838affe5ef505cc995bdbfb5305a36790907f1c,0.7,5,34,1,4,40,1.600000,0.971701598
lstm_augmented_grouped,RLVS,Violence/V_612.mp4,91bfa0e3320b9810b3d423721838affe5ef505cc995bdbfb5305a36790907f1c,0.7,7,34,1,6,50,2.000000,0.980266230
gru_original_grouped,RLVS,Violence/V_612.mp4,91bfa0e3320b9810b3d423721838affe5ef505cc995bdbfb5305a36790907f1c,0.65,5,34,1,4,40,1.600000,0.965103269
gru_augmented_grouped,RLVS,Violence/V_612.mp4,91bfa0e3320b9810b3d423721838affe5ef505cc995bdbfb5305a36790907f1c,0.65,10,34,1,9,65,2.600000,0.971625745
lstm_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0371.avi,0b098233b66685fc1e14db5c307604e60ccc1698852cd51885d104494783c229,0.7,5,27,1,4,40,1.600000,0.952337873
lstm_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0371.avi,0b098233b66685fc1e14db5c307604e60ccc1698852cd51885d104494783c229,0.7,7,27,1,6,50,2.000000,0.938934999
gru_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0371.avi,0b098233b66685fc1e14db5c307604e60ccc1698852cd51885d104494783c229,0.65,5,27,1,4,40,1.600000,0.945034134
gru_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0371.avi,0b098233b66685fc1e14db5c307604e60ccc1698852cd51885d104494783c229,0.65,10,27,1,9,65,2.600000,0.960938883
lstm_original_grouped,RLVS,Violence/V_53.mp4,97ec60d1e6358cc3f7f7ce3e0ebc6abea8700537e21faef84c689c380b1742f7,0.7,5,19,1,4,40,1.600000,0.901316583
lstm_augmented_grouped,RLVS,Violence/V_53.mp4,97ec60d1e6358cc3f7f7ce3e0ebc6abea8700537e21faef84c689c380b1742f7,0.7,7,19,1,6,50,2.000000,0.963684286
gru_original_grouped,RLVS,Violence/V_53.mp4,97ec60d1e6358cc3f7f7ce3e0ebc6abea8700537e21faef84c689c380b1742f7,0.65,5,19,1,4,40,1.600000,0.950722992
gru_augmented_grouped,RLVS,Violence/V_53.mp4,97ec60d1e6358cc3f7f7ce3e0ebc6abea8700537e21faef84c689c380b1742f7,0.65,10,19,1,9,65,2.600000,0.934810978
lstm_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0752.avi,ae4ed8c3b707afc88167e0a5236dab5c999b15a3a42e0dee1cdc9353ecc6b1c0,0.7,5,27,1,4,40,1.600000,0.772560430
lstm_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0752.avi,ae4ed8c3b707afc88167e0a5236dab5c999b15a3a42e0dee1cdc9353ecc6b1c0,0.7,7,27,1,10,70,2.800000,0.700784879
gru_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0752.avi,ae4ed8c3b707afc88167e0a5236dab5c999b15a3a42e0dee1cdc9353ecc6b1c0,0.65,5,27,0,,,,
gru_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0752.avi,ae4ed8c3b707afc88167e0a5236dab5c999b15a3a42e0dee1cdc9353ecc6b1c0,0.65,10,27,0,,,,
lstm_original_grouped,RWF-2000,val/Fight/rwf_val_fight_0066.avi,1a9c78f04745ca40ead40922db882cec38ab87e429b1f3628fe83d895ffa7c81,0.7,5,27,1,10,70,2.800000,0.720482934
lstm_augmented_grouped,RWF-2000,val/Fight/rwf_val_fight_0066.avi,1a9c78f04745ca40ead40922db882cec38ab87e429b1f3628fe83d895ffa7c81,0.7,7,27,1,6,50,2.000000,0.832696651
gru_original_grouped,RWF-2000,val/Fight/rwf_val_fight_0066.avi,1a9c78f04745ca40ead40922db882cec38ab87e429b1f3628fe83d895ffa7c81,0.65,5,27,0,,,,
gru_augmented_grouped,RWF-2000,val/Fight/rwf_val_fight_0066.avi,1a9c78f04745ca40ead40922db882cec38ab87e429b1f3628fe83d895ffa7c81,0.65,10,27,1,12,80,3.200000,0.651593703
lstm_original_grouped,RLVS,Violence/V_787.mp4,30494c9a731581cf8d441143c187605f535e9a21ec8173ba102235793176cb32,0.7,5,28,1,4,40,1.600000,0.997614419
lstm_augmented_grouped,RLVS,Violence/V_787.mp4,30494c9a731581cf8d441143c187605f535e9a21ec8173ba102235793176cb32,0.7,7,28,1,6,50,2.000000,0.995192051
gru_original_grouped,RLVS,Violence/V_787.mp4,30494c9a731581cf8d441143c187605f535e9a21ec8173ba102235793176cb32,0.65,5,28,1,4,40,1.600000,0.999086308
gru_augmented_grouped,RLVS,Violence/V_787.mp4,30494c9a731581cf8d441143c187605f535e9a21ec8173ba102235793176cb32,0.65,10,28,1,9,65,2.600000,0.997929204
lstm_original_grouped,RLVS,Violence/V_596.mp4,12d43365748a8968f0db54e2c28ce80772a46a49197e6bdb48f27cc8b2eab40e,0.7,5,34,1,4,40,1.600000,0.868240321
lstm_augmented_grouped,RLVS,Violence/V_596.mp4,12d43365748a8968f0db54e2c28ce80772a46a49197e6bdb48f27cc8b2eab40e,0.7,7,34,1,6,50,2.000000,0.928874152
gru_original_grouped,RLVS,Violence/V_596.mp4,12d43365748a8968f0db54e2c28ce80772a46a49197e6bdb48f27cc8b2eab40e,0.65,5,34,1,4,40,1.600000,0.712703925
gru_augmented_grouped,RLVS,Violence/V_596.mp4,12d43365748a8968f0db54e2c28ce80772a46a49197e6bdb48f27cc8b2eab40e,0.65,10,34,1,9,65,2.600000,0.934535509
lstm_original_grouped,RLVS,Violence/V_634.mp4,61d6f3f4ca09172ecc5c5f186502a244bf71972bd0d9f54a9e4750637b6c154d,0.7,5,27,1,4,40,1.600000,0.985412109
lstm_augmented_grouped,RLVS,Violence/V_634.mp4,61d6f3f4ca09172ecc5c5f186502a244bf71972bd0d9f54a9e4750637b6c154d,0.7,7,27,1,6,50,2.000000,0.923893860
gru_original_grouped,RLVS,Violence/V_634.mp4,61d6f3f4ca09172ecc5c5f186502a244bf71972bd0d9f54a9e4750637b6c154d,0.65,5,27,1,4,40,1.600000,0.986396801
gru_augmented_grouped,RLVS,Violence/V_634.mp4,61d6f3f4ca09172ecc5c5f186502a244bf71972bd0d9f54a9e4750637b6c154d,0.65,10,27,0,,,,
lstm_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0470.avi,7aea2dcd95cf6e1280fec9d2f8d4dd2e0d2c82f5e4ae9dac817aa135d546d4e6,0.7,5,27,0,,,,
lstm_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0470.avi,7aea2dcd95cf6e1280fec9d2f8d4dd2e0d2c82f5e4ae9dac817aa135d546d4e6,0.7,7,27,1,6,50,2.000000,0.719532643
gru_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0470.avi,7aea2dcd95cf6e1280fec9d2f8d4dd2e0d2c82f5e4ae9dac817aa135d546d4e6,0.65,5,27,0,,,,
gru_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0470.avi,7aea2dcd95cf6e1280fec9d2f8d4dd2e0d2c82f5e4ae9dac817aa135d546d4e6,0.65,10,27,1,9,65,2.600000,0.774533999
lstm_original_grouped,RLVS,Violence/V_214.mp4,345aafd01d4297acc00b8d0d49c691311a3c199d1ca2966c153ec990328fb783,0.7,5,28,1,6,50,2.000000,0.704909241
lstm_augmented_grouped,RLVS,Violence/V_214.mp4,345aafd01d4297acc00b8d0d49c691311a3c199d1ca2966c153ec990328fb783,0.7,7,28,1,18,110,4.400000,0.704326681
gru_original_grouped,RLVS,Violence/V_214.mp4,345aafd01d4297acc00b8d0d49c691311a3c199d1ca2966c153ec990328fb783,0.65,5,28,1,4,40,1.600000,0.782106817
gru_augmented_grouped,RLVS,Violence/V_214.mp4,345aafd01d4297acc00b8d0d49c691311a3c199d1ca2966c153ec990328fb783,0.65,10,28,1,9,65,2.600000,0.673347116
lstm_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0707.avi,77a44b5ea471555bd58975274b6fcd2c7c9558cb27d66d24371837e337a75f5e,0.7,5,27,1,4,40,1.600000,0.973564744
lstm_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0707.avi,77a44b5ea471555bd58975274b6fcd2c7c9558cb27d66d24371837e337a75f5e,0.7,7,27,1,6,50,2.000000,0.960418871
gru_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0707.avi,77a44b5ea471555bd58975274b6fcd2c7c9558cb27d66d24371837e337a75f5e,0.65,5,27,1,4,40,1.600000,0.945307791
gru_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0707.avi,77a44b5ea471555bd58975274b6fcd2c7c9558cb27d66d24371837e337a75f5e,0.65,10,27,1,9,65,2.600000,0.951195723
lstm_original_grouped,RLVS,Violence/V_685.mp4,008652ebf4a0db6216e5c64fc8cecd49e10280d4a6335d9f5a6fd76fff91f07e,0.7,5,22,1,4,40,1.600000,0.970760810
lstm_augmented_grouped,RLVS,Violence/V_685.mp4,008652ebf4a0db6216e5c64fc8cecd49e10280d4a6335d9f5a6fd76fff91f07e,0.7,7,22,1,6,50,2.000000,0.865424395
gru_original_grouped,RLVS,Violence/V_685.mp4,008652ebf4a0db6216e5c64fc8cecd49e10280d4a6335d9f5a6fd76fff91f07e,0.65,5,22,1,4,40,1.600000,0.966404974
gru_augmented_grouped,RLVS,Violence/V_685.mp4,008652ebf4a0db6216e5c64fc8cecd49e10280d4a6335d9f5a6fd76fff91f07e,0.65,10,22,1,9,65,2.600000,0.963624370
lstm_original_grouped,RLVS,Violence/V_958.mp4,2da10b3241187452885b36044e65dbf713c25f0b3a63107652e9bedfeecd2081,0.7,5,22,1,4,40,1.600000,0.960570765
lstm_augmented_grouped,RLVS,Violence/V_958.mp4,2da10b3241187452885b36044e65dbf713c25f0b3a63107652e9bedfeecd2081,0.7,7,22,1,6,50,2.000000,0.976219995
gru_original_grouped,RLVS,Violence/V_958.mp4,2da10b3241187452885b36044e65dbf713c25f0b3a63107652e9bedfeecd2081,0.65,5,22,1,4,40,1.600000,0.964990532
gru_augmented_grouped,RLVS,Violence/V_958.mp4,2da10b3241187452885b36044e65dbf713c25f0b3a63107652e9bedfeecd2081,0.65,10,22,1,9,65,2.600000,0.960206413
lstm_original_grouped,RLVS,Violence/V_771.mp4,99c8a863c2cf6161d6408ecf5c09b5f9960ee4db7392ee748048c633c9424152,0.7,5,29,1,4,40,1.600000,0.950524008
lstm_augmented_grouped,RLVS,Violence/V_771.mp4,99c8a863c2cf6161d6408ecf5c09b5f9960ee4db7392ee748048c633c9424152,0.7,7,29,1,6,50,2.000000,0.982790521
gru_original_grouped,RLVS,Violence/V_771.mp4,99c8a863c2cf6161d6408ecf5c09b5f9960ee4db7392ee748048c633c9424152,0.65,5,29,1,4,40,1.600000,0.880409539
gru_augmented_grouped,RLVS,Violence/V_771.mp4,99c8a863c2cf6161d6408ecf5c09b5f9960ee4db7392ee748048c633c9424152,0.65,10,29,1,9,65,2.600000,0.937745154
lstm_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0058.avi,81c8816d5b491b0d3996ac036891cdb1493b5efc5afac7a59546c5bb4caacd47,0.7,5,27,1,4,40,1.600000,0.879752409
lstm_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0058.avi,81c8816d5b491b0d3996ac036891cdb1493b5efc5afac7a59546c5bb4caacd47,0.7,7,27,1,6,50,2.000000,0.849549200
gru_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0058.avi,81c8816d5b491b0d3996ac036891cdb1493b5efc5afac7a59546c5bb4caacd47,0.65,5,27,1,4,40,1.600000,0.889023805
gru_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0058.avi,81c8816d5b491b0d3996ac036891cdb1493b5efc5afac7a59546c5bb4caacd47,0.65,10,27,1,9,65,2.600000,0.848574173
lstm_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0225.avi,ec2ced1d59c0da16d3d8094daf56a77a4f797264dffa45282f30ff487ae4aac0,0.7,5,27,1,4,40,1.600000,0.979134619
lstm_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0225.avi,ec2ced1d59c0da16d3d8094daf56a77a4f797264dffa45282f30ff487ae4aac0,0.7,7,27,1,6,50,2.000000,0.964659350
gru_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0225.avi,ec2ced1d59c0da16d3d8094daf56a77a4f797264dffa45282f30ff487ae4aac0,0.65,5,27,1,4,40,1.600000,0.928517771
gru_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0225.avi,ec2ced1d59c0da16d3d8094daf56a77a4f797264dffa45282f30ff487ae4aac0,0.65,10,27,1,9,65,2.600000,0.938125622
lstm_original_grouped,RLVS,Violence/V_897.mp4,e9e18a23d0f4ea68e19ea1a2947ceb2474089b88d7b900ae597aa623734a272a,0.7,5,21,1,4,40,1.600000,0.891032350
lstm_augmented_grouped,RLVS,Violence/V_897.mp4,e9e18a23d0f4ea68e19ea1a2947ceb2474089b88d7b900ae597aa623734a272a,0.7,7,21,1,6,50,2.000000,0.939724624
gru_original_grouped,RLVS,Violence/V_897.mp4,e9e18a23d0f4ea68e19ea1a2947ceb2474089b88d7b900ae597aa623734a272a,0.65,5,21,1,4,40,1.600000,0.994391453
gru_augmented_grouped,RLVS,Violence/V_897.mp4,e9e18a23d0f4ea68e19ea1a2947ceb2474089b88d7b900ae597aa623734a272a,0.65,10,21,1,9,65,2.600000,0.989675480
lstm_original_grouped,RLVS,Violence/V_951.mp4,de3a77dc4cbc3c893e16bb01454c7a370eed07f9e7b50bc865add90be3705cb8,0.7,5,26,1,4,40,1.600000,0.981544960
lstm_augmented_grouped,RLVS,Violence/V_951.mp4,de3a77dc4cbc3c893e16bb01454c7a370eed07f9e7b50bc865add90be3705cb8,0.7,7,26,1,6,50,2.000000,0.977785085
gru_original_grouped,RLVS,Violence/V_951.mp4,de3a77dc4cbc3c893e16bb01454c7a370eed07f9e7b50bc865add90be3705cb8,0.65,5,26,1,4,40,1.600000,0.984201586
gru_augmented_grouped,RLVS,Violence/V_951.mp4,de3a77dc4cbc3c893e16bb01454c7a370eed07f9e7b50bc865add90be3705cb8,0.65,10,26,1,9,65,2.600000,0.983622348
lstm_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0623.avi,162202bbb9d29f3fd28a45bf8b8aa8778bf1f4f282c0323ebd4b785b060af1d4,0.7,5,27,0,,,,
lstm_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0623.avi,162202bbb9d29f3fd28a45bf8b8aa8778bf1f4f282c0323ebd4b785b060af1d4,0.7,7,27,0,,,,
gru_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0623.avi,162202bbb9d29f3fd28a45bf8b8aa8778bf1f4f282c0323ebd4b785b060af1d4,0.65,5,27,0,,,,
gru_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0623.avi,162202bbb9d29f3fd28a45bf8b8aa8778bf1f4f282c0323ebd4b785b060af1d4,0.65,10,27,0,,,,
lstm_original_grouped,RLVS,Violence/V_468.mp4,481171ce269aac25c3b53ea6472621b39893c5100302f78e4789f12ff2b5c09f,0.7,5,27,1,4,40,1.600000,0.984785151
lstm_augmented_grouped,RLVS,Violence/V_468.mp4,481171ce269aac25c3b53ea6472621b39893c5100302f78e4789f12ff2b5c09f,0.7,7,27,1,6,50,2.000000,0.977239694
gru_original_grouped,RLVS,Violence/V_468.mp4,481171ce269aac25c3b53ea6472621b39893c5100302f78e4789f12ff2b5c09f,0.65,5,27,1,4,40,1.600000,0.986931312
gru_augmented_grouped,RLVS,Violence/V_468.mp4,481171ce269aac25c3b53ea6472621b39893c5100302f78e4789f12ff2b5c09f,0.65,10,27,1,9,65,2.600000,0.979820555
lstm_original_grouped,RLVS,Violence/V_427.mp4,4224b95dc74e14465f52b3784dfb8eddc758698291c0d3c2dfe1b5efaa11bf8e,0.7,5,25,1,4,40,1.600000,0.961986148
lstm_augmented_grouped,RLVS,Violence/V_427.mp4,4224b95dc74e14465f52b3784dfb8eddc758698291c0d3c2dfe1b5efaa11bf8e,0.7,7,25,1,6,50,2.000000,0.926414260
gru_original_grouped,RLVS,Violence/V_427.mp4,4224b95dc74e14465f52b3784dfb8eddc758698291c0d3c2dfe1b5efaa11bf8e,0.65,5,25,1,4,40,1.600000,0.947478652
gru_augmented_grouped,RLVS,Violence/V_427.mp4,4224b95dc74e14465f52b3784dfb8eddc758698291c0d3c2dfe1b5efaa11bf8e,0.65,10,25,1,9,65,2.600000,0.948811364
lstm_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0242.avi,0c2855441b082c81dfed6849804cf68666932a2f914b05d1588617102cfbf28c,0.7,5,27,1,4,40,1.600000,0.948596418
lstm_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0242.avi,0c2855441b082c81dfed6849804cf68666932a2f914b05d1588617102cfbf28c,0.7,7,27,1,6,50,2.000000,0.929057845
gru_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0242.avi,0c2855441b082c81dfed6849804cf68666932a2f914b05d1588617102cfbf28c,0.65,5,27,1,4,40,1.600000,0.842597830
gru_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0242.avi,0c2855441b082c81dfed6849804cf68666932a2f914b05d1588617102cfbf28c,0.65,10,27,1,9,65,2.600000,0.696595740
lstm_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0086.avi,15429da03cc36fd352295163c1a58e1389e1b4fc4e452554dc3e111d70447d1b,0.7,5,27,1,4,40,1.600000,0.908304060
lstm_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0086.avi,15429da03cc36fd352295163c1a58e1389e1b4fc4e452554dc3e111d70447d1b,0.7,7,27,1,11,75,3.000000,0.713517215
gru_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0086.avi,15429da03cc36fd352295163c1a58e1389e1b4fc4e452554dc3e111d70447d1b,0.65,5,27,1,4,40,1.600000,0.885087073
gru_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0086.avi,15429da03cc36fd352295163c1a58e1389e1b4fc4e452554dc3e111d70447d1b,0.65,10,27,1,9,65,2.600000,0.766189069
lstm_original_grouped,RLVS,Violence/V_584.mp4,62e65b2ec40a0f4940ee9152eebc03405e6f7c7c608397a831058b240b24918f,0.7,5,34,1,4,40,1.600000,0.993376362
lstm_augmented_grouped,RLVS,Violence/V_584.mp4,62e65b2ec40a0f4940ee9152eebc03405e6f7c7c608397a831058b240b24918f,0.7,7,34,1,6,50,2.000000,0.976310917
gru_original_grouped,RLVS,Violence/V_584.mp4,62e65b2ec40a0f4940ee9152eebc03405e6f7c7c608397a831058b240b24918f,0.65,5,34,1,4,40,1.600000,0.992238247
gru_augmented_grouped,RLVS,Violence/V_584.mp4,62e65b2ec40a0f4940ee9152eebc03405e6f7c7c608397a831058b240b24918f,0.65,10,34,1,9,65,2.600000,0.990578973
lstm_original_grouped,RWF-2000,val/Fight/rwf_val_fight_0148.avi,2c418592c3cf34e61b371ce4e9da41799ee422e96c81618e54ea14f3e2e9af59,0.7,5,27,1,4,40,1.600000,0.977674115
lstm_augmented_grouped,RWF-2000,val/Fight/rwf_val_fight_0148.avi,2c418592c3cf34e61b371ce4e9da41799ee422e96c81618e54ea14f3e2e9af59,0.7,7,27,1,6,50,2.000000,0.962003546
gru_original_grouped,RWF-2000,val/Fight/rwf_val_fight_0148.avi,2c418592c3cf34e61b371ce4e9da41799ee422e96c81618e54ea14f3e2e9af59,0.65,5,27,1,4,40,1.600000,0.882852173
gru_augmented_grouped,RWF-2000,val/Fight/rwf_val_fight_0148.avi,2c418592c3cf34e61b371ce4e9da41799ee422e96c81618e54ea14f3e2e9af59,0.65,10,27,1,9,65,2.600000,0.876361096
lstm_original_grouped,RWF-2000,val/Fight/rwf_val_fight_0169.avi,dcae560faef2143271bc80c308cab117c5dda30d6107612295995f6139df97e2,0.7,5,27,1,4,40,1.600000,0.964373243
lstm_augmented_grouped,RWF-2000,val/Fight/rwf_val_fight_0169.avi,dcae560faef2143271bc80c308cab117c5dda30d6107612295995f6139df97e2,0.7,7,27,1,6,50,2.000000,0.872044929
gru_original_grouped,RWF-2000,val/Fight/rwf_val_fight_0169.avi,dcae560faef2143271bc80c308cab117c5dda30d6107612295995f6139df97e2,0.65,5,27,1,4,40,1.600000,0.882076323
gru_augmented_grouped,RWF-2000,val/Fight/rwf_val_fight_0169.avi,dcae560faef2143271bc80c308cab117c5dda30d6107612295995f6139df97e2,0.65,10,27,1,9,65,2.600000,0.736531729
